obs_id;lat_wgs84;lon_wgs84;obs_date;obs_time;obs_time_zone;site_id;site_name;site_country;upstream_basin_area;upstream_basin_area_unit;drainage_region_name;param_code;source_param_code;param_name;source_param_name;obs_value;source_obs_value;detection_limit_flag;param_form;source_param_form;unit;source_unit;filtration;source;obs_percentile;obs_iqr_outlier;site_ts_availability;site_ts_continuity;WATERBASE_meta_procedureAnalysedMatrix;WATERBASE_meta_Remarks
eeec9f45a755b22df82e1f72143129cf8360fd0c537ba67245099a27a6502116;62.93664;31.43634;2017-08-15;00:00:00;;FISW_4195;KOITAJOKI YLAJUOKSU;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;3.0;3.0;<;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.7771361152508693;no;0.42;0.05;W;
9c94471b986213f2a714a278b171e925b5fa25119c026590c253d2aaf4c1c694;62.93664;31.43634;2017-10-30;00:00:00;;FISW_4195;KOITAJOKI YLAJUOKSU;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;3.0;3.0;<;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.7771361152508693;no;0.42;0.05;W;
2f778de2e5861ec6552c9033093c8821da0d7502ab5d7af1f27add42538d861d;62.93664;31.43634;2018-03-08;00:00:00;;FISW_4195;KOITAJOKI YLAJUOKSU;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;3.0;3.0;<;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.7771361152508693;no;0.42;0.05;W;
6ac51c7ea71cf5a5be6bd536d1bc26d2498793b736b0a97f0f1f61f5071b092c;62.93664;31.43634;2018-05-16;00:00:00;;FISW_4195;KOITAJOKI YLAJUOKSU;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;3.0;3.0;<;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.7771361152508693;no;0.42;0.05;W;
6621e907a760f203f77546a392528b825fdc08929dc99189d03cd097f7374efa;62.93664;31.43634;2018-08-13;00:00:00;;FISW_4195;KOITAJOKI YLAJUOKSU;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;3.0;3.0;<;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.7771361152508693;no;0.42;0.05;W;
7eef77c399eac128866b94ff5cc2d981eb4c4a97f91c2d0f33c1c3e20e61478d;62.93664;31.43634;2018-10-23;00:00:00;;FISW_4195;KOITAJOKI YLAJUOKSU;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;3.0;3.0;<;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.7771361152508693;no;0.42;0.05;W;
9b68d975431cdc7a49587390cca752c59d186970a0afe3fd46a016bb360f770d;61.41152;29.4006;2021-01-12;00:00:00;;FISW_739;HIITOLANJOKI-KOKKOLANJOKI S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;1.8;1.8;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.3987208147044213;no;0.26;0.13;W;
f047ccefb5ec3477e180ee46aaad815baf4171f453e5d124760b858e41bc3188;61.41152;29.4006;2021-02-02;00:00:00;;FISW_739;HIITOLANJOKI-KOKKOLANJOKI S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;2.1;2.1;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.5113636363636364;no;0.26;0.13;W;
0afe5ceb4625a9d8aa05f561fce79fba2e303051245fddeaa580e0ccf793e85c;61.41152;29.4006;2021-03-03;00:00:00;;FISW_739;HIITOLANJOKI-KOKKOLANJOKI S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;1.0;1.0;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.08289865871833085;no;0.26;0.13;W;
a08e851b0b4938fe05df9a4054c60da07051cf4c2bd7dcefe09b03761cb34516;61.41152;29.4006;2021-04-06;00:00:00;;FISW_739;HIITOLANJOKI-KOKKOLANJOKI S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;0.83;0.83;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.031110283159463487;no;0.26;0.13;W;
