def
143.1
70.3
66.700005
46.5
51.9
0.0
0.0
0.0
0.0
0.0
6.1
8.2
84.700005
104.5
0.0
5.2000003
13.0
9.6
0.0
6.8
3.9
32.9
39.8
15.400001
3.4
0.0
126.5
140.90001
129.0
107.9
155.3
149.40001
128.3
149.6
154.2
151.6
170.7
87.4
130.6
68.0
64.200005
60.8
63.2
70.4
69.8
162.40001
195.1
119.200005
256.30002
47.2
75.8
8.400001
63.0
62.2
62.0
57.3
86.1
56.3
111.0
18.4
15.0
179.90001
190.8
117.9
76.6
82.1
85.9
64.200005
64.3
89.5
36.2
34.8
136.90001
194.40001
179.1
63.8
59.7
69.8
116.0
195.1
41.3
57.9
195.1
1.6
66.9
26.300001
82.1
93.1
92.0
96.9
94.0
111.0
188.90001
64.5
184.8
68.0
166.1
94.5
81.3
85.9
64.200005
89.5
156.2
69.8
76.1
256.30002
75.8
76.1
62.2
57.3
82.1
56.3
109.700005
131.0
62.0
59.4
62.600002
70.4
69.8
64.3
116.0
195.1
195.1
39.9
66.9
94.5
76.1
42.9
92.0
63.0
96.9
71.3
94.0
111.0
136.90001
176.7
228.7
64.5
82.1
64.200005
62.100002
63.2
69.8
116.0
162.40001
136.90001
134.40001
210.90001
62.600002
119.200005
85.6
256.30002
0.0
13.6
20.5
75.8
76.5
15.0
62.0
57.3
59.7
56.3
111.0
93.1
109.700005
36.2
34.8
179.90001
190.8
117.9
88.9
76.6
76.700005
12.400001
7.7000003
64.200005
64.3
89.5
42.9
41.3
194.40001
57.9
70.4
69.8
65.3
17.7
66.9
75.8
76.1
76.5
96.9
71.3
94.0
111.0
109.700005
188.90001
68.0
32.600002
166.1
148.7
44.9
70.4
69.8
113.5
111.0
93.1
92.0
184.8
52.2
84.1
57.3
116.0
90.6
92.6
195.1
44.9
256.30002
62.3
111.0
93.1
109.700005
117.9
94.200005
81.3
56.3
1.6
64.200005
64.3
116.0
69.8
66.9
8.400001
96.9
56.3
94.0
111.0
93.1
109.700005
15.0
64.5
68.0
89.3
17.9
65.6
22.1
81.3
82.1
64.200005
64.3
89.5
62.100002
63.2
36.2
34.8
131.0
110.1
26.300001
22.1
42.9
41.3
119.200005
162.40001
40.9
134.40001
256.30002
0.0
13.6
20.5
75.8
76.1
76.5
62.2
62.0
57.3
55.100002
59.7
59.3
12.400001
111.0
117.9
60.600002
7.7000003
10.0
85.9
64.200005
136.90001
52.2
70.4
69.8
57.9
17.7
82.1
96.9
66.9
75.8
76.5
111.0
176.7
190.8
58.5
32.600002
58.0
81.3
89.5
109.700005
194.40001
64.5
68.0
71.700005
64.3
179.90001
70.4
69.8
90.6
92.6
256.30002
65.3
76.1
62.2
62.0
57.3
71.3
94.0
113.4
108.6
111.0
109.700005
117.9
166.1
82.1
109.1
67.6
27.800001
85.9
111.0
62.100002
63.2
